"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.110682944E1,5.578489900E-1,4.352658749E0,8.789113998E0,9.823714092E0
3.111031615E1,5.602431893E-1,4.371812344E0,8.793902397E0,9.836632298E0
3.111146225E1,5.626373887E-1,4.378994942E0,8.798690796E0,9.844242848E0
3.111385390E1,5.674257874E-1,4.362235546E0,8.793902397E0,9.832791585E0
3.111498182E1,5.770025849E-1,4.347870350E0,8.793902397E0,9.826984682E0
3.111804725E1,5.793967843E-1,4.343081951E0,8.786720276E0,9.818580074E0
3.111905605E1,5.841852427E-1,4.345476151E0,8.791508675E0,9.824207864E0
3.112205452E1,5.722141862E-1,4.347870350E0,8.784325600E0,9.818135357E0
3.112317155E1,5.602431893E-1,4.369418144E0,8.779537201E0,9.822726750E0
3.112623628E1,5.698199868E-1,4.369418144E0,8.786720276E0,9.829698009E0
3.112732675E1,5.793967843E-1,4.369418144E0,8.784325600E0,9.828117408E0
3.113022152E1,5.793967843E-1,4.340687752E0,8.786720276E0,9.817521276E0
3.113172802E1,5.722141862E-1,4.350264549E0,8.791508675E0,9.825622398E0
3.113425971E1,5.626373887E-1,4.343081951E0,8.793902397E0,9.824033847E0
3.113542167E1,5.554547906E-1,4.352658749E0,8.798690796E0,9.832147676E0
3.113837594E1,5.602431893E-1,4.343081951E0,8.796297073E0,9.826040681E0
3.113949167E1,5.602431893E-1,4.333505154E0,8.791508675E0,9.817523319E0
3.114247348E1,5.602431893E-1,4.333505154E0,8.791508675E0,9.817523319E0
3.114372513E1,5.698199868E-1,4.328716755E0,8.796297073E0,9.820250799E0
3.114659159E1,5.602431893E-1,4.338293552E0,8.789113998E0,9.817493991E0
3.114764944E1,5.578489900E-1,4.333505154E0,8.774748802E0,9.802381290E0
3.115077152E1,5.530605912E-1,4.323928356E0,8.777143478E0,9.800024494E0
3.115198521E1,5.506663918E-1,4.338293552E0,8.791508675E0,9.819096150E0
3.115469455E1,5.530605912E-1,4.338293552E0,8.786720276E0,9.814943717E0
3.115575055E1,5.722141862E-1,4.345476151E0,8.781931877E0,9.814933497E0
3.115878009E1,5.626373887E-1,4.350264549E0,8.796297073E0,9.829354235E0
3.115991367E1,5.554547906E-1,4.314351559E0,8.822632790E0,9.836717376E0
3.116280048E1,5.602431893E-1,4.311957359E0,8.815450668E0,9.829497402E0
3.116399194E1,5.506663918E-1,4.335899353E0,8.801085472E0,9.826614990E0
3.116697540E1,5.554547906E-1,4.331110954E0,8.810662270E0,9.833352518E0
3.116810994E1,5.482721925E-1,4.333505154E0,8.801085472E0,9.825424917E0
3.117099640E1,5.410895944E-1,4.343081951E0,8.813055992E0,9.839974324E0
3.117247732E1,5.578489900E-1,4.347870350E0,8.803479195E0,9.834450570E0
3.117486755E1,5.650315881E-1,4.352658749E0,8.803479195E0,9.836978439E0
3.117628998E1,5.650315881E-1,4.352658749E0,8.810662270E0,9.843407363E0
3.117888275E1,5.554547906E-1,4.355052948E0,8.808267593E0,9.841778000E0
3.118027040E1,5.506663918E-1,4.331110954E0,8.796297073E0,9.820213734E0
3.118319232E1,5.506663918E-1,4.328716755E0,8.801085472E0,9.823447852E0
3.118441148E1,5.482721925E-1,4.335899353E0,8.789113998E0,9.815760311E0
3.118735482E1,5.339069963E-1,4.352658749E0,8.798690796E0,9.830953900E0
3.118855155E1,5.434837937E-1,4.352658749E0,8.796297073E0,9.829336449E0
3.119138044E1,5.554547906E-1,4.343081951E0,8.796297073E0,9.825768828E0
3.119294121E1,5.746083856E-1,4.343081951E0,8.798690796E0,9.829012939E0
3.119540517E1,5.650315881E-1,4.338293552E0,8.796297073E0,9.824199400E0
3.119652044E1,5.578489900E-1,4.343081951E0,8.796297073E0,9.825904464E0
3.119957479E1,5.410895944E-1,4.355052948E0,8.781931877E0,9.817412675E0
3.120106563E1,5.339069963E-1,4.343081951E0,8.793902397E0,9.822430294E0
3.120355905E1,5.315127969E-1,4.357447147E0,8.798690796E0,9.832945195E0
3.120473205E1,5.410895944E-1,4.367023945E0,8.798690796E0,9.837714969E0
3.120780463E1,5.410895944E-1,4.367023945E0,8.798690796E0,9.837714969E0
3.120885809E1,5.386953950E-1,4.345476151E0,8.791508675E0,9.821607836E0
3.121178609E1,5.386953950E-1,4.345476151E0,8.781931877E0,9.813036390E0
3.121324075E1,5.386953950E-1,4.345476151E0,8.781931877E0,9.813036390E0
3.121569432E1,5.363011956E-1,4.359841347E0,8.774748802E0,9.812851374E0
3.121693259E1,5.434837937E-1,4.357447147E0,8.781931877E0,9.818607222E0
3.121993840E1,5.506663918E-1,4.357447147E0,8.777143478E0,9.814724997E0
3.122115428E1,5.554547906E-1,4.359841347E0,8.765172005E0,9.805355010E0
3.122394817E1,5.434837937E-1,4.350264549E0,8.774748802E0,9.808995505E0
3.122522036E1,5.410895944E-1,4.343081951E0,8.779537201E0,9.809964946E0
3.122816502E1,5.482721925E-1,4.333505154E0,8.774748802E0,9.801840942E0
3.122921921E1,5.554547906E-1,4.331110954E0,8.762778282E0,9.790471661E0
3.123215532E1,5.506663918E-1,4.323928356E0,8.757989883E0,9.782738712E0
3.123356094E1,5.602431893E-1,4.328716755E0,8.760383606E0,9.787542189E0
3.123617798E1,5.578489900E-1,4.355052948E0,8.777143478E0,9.814067929E0
3.123728425E1,5.554547906E-1,4.347870350E0,8.781931877E0,9.815031029E0
3.124067525E1,5.530605912E-1,4.359841347E0,8.781931877E0,9.820204686E0
3.124148621E1,5.554547906E-1,4.362235546E0,8.767566681E0,9.808560266E0
3.124438963E1,5.602431893E-1,4.355052948E0,8.772355080E0,9.809922133E0
3.124549913E1,5.841852427E-1,4.359841347E0,8.762778282E0,9.804885119E0
3.124849659E1,5.722141862E-1,4.359841347E0,8.767566681E0,9.808459163E0
3.124962209E1,5.722141862E-1,4.352658749E0,8.779537201E0,9.815973753E0
3.125252136E1,5.793967843E-1,4.355052948E0,8.781931877E0,9.819598480E0
3.125400713E1,5.746083856E-1,4.357447147E0,8.774748802E0,9.813956235E0
3.125639778E1,5.698199868E-1,4.359841347E0,8.772355080E0,9.812600319E0
3.125769321E1,5.722141862E-1,4.352658749E0,8.765172005E0,9.803127436E0
3.126052721E1,6.009446383E-1,4.355052948E0,8.781931877E0,9.820893449E0
3.126184559E1,6.009446383E-1,4.347870350E0,8.784325600E0,9.819851693E0
3.126471440E1,5.841852427E-1,4.340687752E0,8.784325600E0,9.815661913E0
3.126596705E1,5.865794420E-1,4.345476151E0,8.793902397E0,9.826492649E0
3.126885913E1,5.985504389E-1,4.357447147E0,8.784325600E0,9.823949537E0
3.127017282E1,6.009446383E-1,4.350264549E0,8.786720276E0,9.823053971E0
3.127294582E1,6.057330370E-1,4.335899353E0,8.793902397E0,9.823423796E0
3.127436325E1,6.033388376E-1,4.355052948E0,8.789113998E0,9.827462989E0
3.127702875E1,6.033388376E-1,4.347870350E0,8.793902397E0,9.828566208E0
3.127875002E1,6.033388376E-1,4.357447147E0,8.793902397E0,9.832806454E0
3.128115421E1,5.937620401E-1,4.364629745E0,8.810662270E0,9.850396733E0
3.128257152E1,5.913678408E-1,4.367023945E0,8.805873871E0,9.847031466E0
3.128515682E1,5.865794420E-1,4.340687752E0,8.796297073E0,9.826519618E0
3.128626402E1,5.674257874E-1,4.343081951E0,8.796297073E0,9.826452822E0
3.128928417E1,5.817909837E-1,4.357447147E0,8.796297073E0,9.833649810E0
3.129035244E1,5.889736414E-1,4.352658749E0,8.793902397E0,9.829814215E0
3.129343179E1,5.865794420E-1,4.350264549E0,8.779537201E0,9.815760315E0
3.129476463E1,5.650315881E-1,4.343081951E0,8.781931877E0,9.813457547E0
3.129707048E1,5.410895944E-1,4.350264549E0,8.779537201E0,9.813146950E0
3.129847925E1,5.339069963E-1,4.355052948E0,8.781931877E0,9.817019423E0
3.130151394E1,5.506663918E-1,4.374206543E0,8.784325600E0,9.828595657E0
3.130266252E1,5.339069963E-1,4.364629745E0,8.767566681E0,9.808428773E0
3.130549452E1,5.243301988E-1,4.369418144E0,8.748413086E0,9.792929521E0
3.130668621E1,5.267243981E-1,4.376600742E0,8.738836288E0,9.787713335E0
3.130961944E1,5.291185975E-1,4.371812344E0,8.731653214E0,9.779288190E0
3.131078198E1,5.267243981E-1,4.369418144E0,8.705317497E0,9.754578732E0
3.131366648E1,5.267243981E-1,4.357447147E0,8.698134422E0,9.742808972E0
3.131509886E1,5.315127969E-1,4.350264549E0,8.698134422E0,9.739858825E0
3.131778548E1,5.267243981E-1,4.359841347E0,8.695740700E0,9.741743246E0
3.131882532E1,5.315127969E-1,4.350264549E0,8.686163902E0,9.729170100E0
3.132189105E1,5.410895944E-1,4.345476151E0,8.671798706E0,9.714732818E0
3.132293240E1,5.195417404E-1,4.347870350E0,8.671798706E0,9.714627785E0
3.132618879E1,5.243301988E-1,4.357447147E0,8.681375504E0,9.727720619E0
3.132702678E1,5.291185975E-1,4.362235546E0,8.678980827E0,9.727989188E0
3.133002159E1,5.315127969E-1,4.364629745E0,8.678980827E0,9.729193536E0
3.133110694E1,5.506663918E-1,4.347870350E0,8.693346024E0,9.735577802E0
3.133404090E1,5.339069963E-1,4.350264549E0,8.695740700E0,9.737852158E0
3.133548371E1,5.219359994E-1,4.343081951E0,8.693346024E0,9.731857125E0
3.133800344E1,5.291185975E-1,4.359841347E0,8.707711220E0,9.752559548E0
