t [s],Red [bit],IR [bit]
0,50757,55256
0.008,50756,55254
0.016,50755,55252
0.024,50754,55251
0.032,50753,55251
0.04,50755,55253
0.048,50757,55256
0.056,50761,55262
0.064,50763,55268
0.072,50764,55277
0.08,50763,55287
0.088,50760,55298
0.096,50758,55310
0.104,50760,55323
0.112,50766,55337
0.12,50777,55352
0.128,50790,55367
0.136,50804,55382
0.144,50815,55398
0.152,50823,55413
0.16,50829,55429
0.168,50834,55445
0.176,50840,55460
0.184,50847,55475
0.192,50855,55489
0.2,50864,55503
0.208,50870,55517
0.216,50874,55532
0.224,50874,55547
0.232,50871,55562
0.24,50869,55578
0.248,50870,55592
0.256,50876,55605
0.264,50886,55617
0.272,50898,55627
0.28,50911,55638
0.288,50921,55649
0.296,50928,55661
0.304,50933,55673
0.312,50937,55686
0.32,50942,55699
0.328,50947,55712
0.336,50952,55723
0.344,50958,55733
0.352,50964,55743
0.36,50970,55755
0.368,50973,55769
0.376,50976,55787
0.384,50977,55806
0.392,50979,55826
0.4,50982,55842
0.408,50987,55854
0.416,50995,55862
0.424,51003,55869
0.432,51011,55875
0.44,51018,55883
0.448,51024,55894
0.456,51029,55907
0.464,51034,55922
0.472,51039,55936
0.48,51045,55949
0.488,51050,55961
0.496,51056,55972
0.504,51061,55982
0.512,51066,55994
0.52,51071,56008
0.528,51076,56025
0.536,51082,56044
0.544,51087,56062
0.552,51091,56075
0.56,51094,56077
0.568,51092,56065
0.576,51085,56036
0.584,51070,55991
0.592,51049,55930
0.6,51021,55856
0.608,50988,55772
0.616,50951,55684
0.624,50913,55596
0.632,50877,55512
0.64,50843,55436
0.648,50813,55372
0.656,50789,55318
0.664,50769,55275
0.672,50754,55241
0.68,50744,55214
0.688,50736,55194
0.696,50731,55180
0.704,50727,55172
0.712,50724,55168
0.72,50723,55167
0.728,50721,55166
0.736,50720,55164
0.744,50718,55161
0.752,50716,55156
0.76,50714,55150
0.768,50713,55146
0.776,50712,55144
0.784,50712,55146
0.792,50713,55151
0.8,50715,55159
0.808,50719,55169
0.816,50724,55179
0.824,50729,55187
0.832,50736,55195
0.84,50742,55202
0.848,50748,55211
0.856,50753,55220
0.864,50756,55231
0.872,50758,55241
0.88,50759,55249
0.888,50759,55253
0.896,50758,55254
0.904,50757,55252
0.912,50757,55249
0.92,50757,55246
0.928,50757,55246
0.936,50757,55247
0.944,50757,55251
0.952,50757,55257
0.96,50758,55263
0.968,50761,55268
0.976,50766,55272
0.984,50774,55276
0.992,50784,55281
1,50794,55290
1.008,50802,55303
1.016,50808,55320
1.024,50811,55340
1.032,50812,55359
1.04,50814,55377
1.048,50817,55393
1.056,50822,55408
1.064,50829,55421
1.072,50836,55434
1.08,50842,55448
1.088,50848,55462
1.096,50853,55476
1.104,50857,55489
1.112,50862,55503
1.12,50869,55515
1.128,50876,55527
1.136,50884,55538
1.144,50893,55549
1.152,50900,55560
1.16,50905,55572
1.168,50909,55584
1.176,50911,55597
1.184,50913,55610
1.192,50916,55622
1.2,50920,55634
1.208,50924,55644
1.216,50930,55655
1.224,50935,55665
1.232,50940,55675
1.24,50943,55686
1.248,50946,55698
1.256,50949,55709
1.264,50953,55719
1.272,50961,55729
1.28,50971,55738
1.288,50984,55747
1.296,50996,55758
1.304,51005,55771
1.312,51010,55785
1.32,51010,55800
1.328,51008,55816
1.336,51007,55831
1.344,51008,55845
1.352,51012,55858
1.36,51018,55871
1.368,51024,55884
1.376,51030,55897
1.384,51036,55910
1.392,51041,55922
1.4,51045,55933
1.408,51050,55944
1.416,51054,55955
1.424,51058,55967
1.432,51062,55979
1.44,51066,55990
1.448,51069,55999
1.456,51071,56002
1.464,51069,55994
1.472,51063,55974
1.48,51052,55937
1.488,51033,55885
1.496,51008,55817
1.504,50976,55739
1.512,50941,55654
1.52,50905,55567
1.528,50869,55485
1.536,50836,55410
1.544,50807,55345
1.552,50783,55292
1.56,50763,55251
1.568,50749,55219
1.576,50738,55197
1.584,50731,55182
1.592,50726,55172
1.6,50723,55165
1.608,50722,55162
1.616,50721,55160
1.624,50720,55158
1.632,50720,55157
1.64,50720,55157
1.648,50720,55156
1.656,50720,55156
1.664,50719,55156
1.672,50720,55159
1.68,50721,55164
1.688,50725,55170
1.696,50730,55179
1.704,50737,55190
1.712,50743,55203
1.72,50746,55217
1.728,50746,55233
1.736,50744,55248
1.744,50741,55262
1.752,50740,55272
1.76,50744,55278
1.768,50750,55279
1.776,50758,55277
1.784,50765,55272
1.792,50769,55268
1.8,50770,55264
1.808,50768,55261
1.816,50766,55260
1.824,50765,55260
1.832,50765,55261
1.84,50766,55262
1.848,50769,55264
1.856,50772,55268
1.864,50775,55275
1.872,50778,55286
1.88,50780,55302
1.888,50782,55321
1.896,50784,55340
1.904,50788,55356
1.912,50793,55368
1.92,50800,55376
1.928,50808,55381
1.936,50816,55386
1.944,50824,55394
1.952,50830,55405
1.96,50836,55418
1.968,50841,55432
1.976,50846,55446
1.984,50851,55459
1.992,50856,55470
2,50861,55480
2.008,50866,55491
2.016,50871,55502
2.024,50876,55516
2.032,50881,55531
2.04,50886,55549
2.048,50891,55566
2.056,50896,55580
2.064,50900,55591
2.072,50905,55599
2.08,50910,55605
2.088,50915,55611
2.096,50920,55619
2.104,50925,55629
2.112,50929,55640
2.12,50934,55651
2.128,50938,55662
2.136,50942,55672
2.144,50947,55682
2.152,50951,55692
2.16,50955,55702
2.168,50960,55714
2.176,50964,55727
2.184,50969,55740
2.192,50974,55753
2.2,50978,55765
2.208,50982,55775
2.216,50987,55784
2.224,50991,55793
2.232,50996,55803
2.24,51001,55814
2.248,51006,55825
2.256,51011,55834
2.264,51014,55839
2.272,51014,55835
2.28,51009,55820
2.288,50998,55791
2.296,50981,55748
2.304,50958,55691
2.312,50930,55623
2.32,50899,55544
2.328,50867,55461
2.336,50837,55379
2.344,50809,55304
2.352,50785,55242
2.36,50764,55195
2.368,50747,55164
2.376,50733,55146
2.384,50722,55135
2.392,50715,55128
2.4,50711,55124
2.408,50709,55122
2.416,50709,55121
2.424,50710,55122
2.432,50712,55125
2.44,50714,55129
2.448,50716,55135
2.456,50718,55142
2.464,50720,55148
2.472,50723,55155
2.48,50727,55161
2.488,50732,55168
2.496,50738,55177
2.504,50744,55189
2.512,50751,55205
2.52,50758,55224
2.528,50765,55243
2.536,50771,55261
2.544,50777,55276
2.552,50781,55286
2.56,50785,55293
2.568,50787,55296
2.576,50788,55296
2.584,50788,55295
2.592,50786,55292
2.6,50782,55289
2.608,50779,55285
2.616,50777,55283
2.624,50778,55281
2.632,50784,55282
2.64,50792,55284
2.648,50801,55288
2.656,50807,55294
2.664,50810,55302
2.672,50809,55311
2.68,50807,55321
2.688,50806,55333
2.696,50807,55346
2.704,50811,55360
2.712,50817,55374
2.72,50825,55389
2.728,50832,55403
2.736,50839,55418
2.744,50845,55433
2.752,50850,55448
2.76,50854,55463
2.768,50860,55477
2.776,50868,55492
2.784,50878,55506
2.792,50889,55520
2.8,50899,55534
2.808,50908,55547
2.816,50913,55560
2.824,50916,55574
2.832,50917,55586
2.84,50918,55599
2.848,50920,55612
2.856,50924,55624
2.864,50929,55637
2.872,50934,55649
2.88,50939,55660
2.888,50944,55672
2.896,50949,55683
2.904,50954,55694
2.912,50960,55705
2.92,50965,55716
2.928,50967,55727
2.936,50967,55738
2.944,50965,55749
2.952,50963,55760
2.96,50964,55771
2.968,50969,55782
2.976,50978,55793
2.984,50989,55804
2.992,50999,55815
3,51008,55826
3.008,51014,55837
3.016,51018,55848
3.024,51021,55860
3.032,51025,55872
3.04,51031,55885
3.048,51038,55897
3.056,51044,55906
3.064,51047,55908
3.072,51042,55900
3.08,51028,55877
3.088,51005,55837
3.096,50976,55781
3.104,50944,55711
3.112,50912,55630
3.12,50881,55544
3.128,50853,55459
3.136,50825,55378
3.144,50799,55307
3.152,50773,55247
3.16,50750,55199
3.168,50731,55161
3.176,50716,55133
3.184,50707,55113
3.192,50701,55098
3.2,50699,55088
3.208,50698,55080
3.216,50697,55076
3.224,50693,55075
3.232,50687,55076
3.24,50678,55078
3.248,50670,55081
3.256,50665,55081
3.264,50664,55080
3.272,50669,55077
3.28,50677,55075
3.288,50685,55075
3.296,50693,55079
3.304,50699,55087
3.312,50704,55099
3.32,50708,55113
3.328,50713,55128
3.336,50719,55143
3.344,50726,55155
3.352,50732,55164
3.36,50738,55172
3.368,50742,55179
3.376,50744,55187
3.384,50744,55197
3.392,50742,55208
3.4,50740,55217
3.408,50738,55221
3.416,50738,55219
3.424,50738,55212
3.432,50740,55203
3.44,50742,55195
3.448,50744,55192
3.456,50747,55194
3.464,50749,55200
3.472,50752,55209
3.48,50755,55219
3.488,50759,55230
3.496,50764,55241
3.504,50769,55252
3.512,50775,55265
3.52,50780,55278
3.528,50787,55292
3.536,50793,55305
3.544,50799,55319
3.552,50806,55333
3.56,50812,55348
3.568,50818,55363
3.576,50824,55378
3.584,50830,55392
3.592,50836,55406
3.6,50842,55420
3.608,50847,55434
3.616,50853,55447
3.624,50859,55460
3.632,50865,55473
3.64,50870,55486
3.648,50875,55499
3.656,50881,55512
3.664,50886,55525
3.672,50891,55537
3.68,50896,55548
3.688,50901,55559
3.696,50906,55570
3.704,50911,55581
3.712,50916,55593
3.72,50920,55604
3.728,50925,55616
3.736,50929,55627
3.744,50933,55638
3.752,50937,55648
3.76,50942,55659
3.768,50946,55669
3.776,50950,55680
3.784,50955,55691
3.792,50959,55703
3.8,50964,55715
3.808,50967,55727
3.816,50971,55738
3.824,50976,55747
3.832,50982,55752
3.84,50989,55756
3.848,50997,55760
3.856,51003,55763
3.864,51006,55765
3.872,51003,55760
3.88,50994,55743
3.888,50976,55710
3.896,50952,55658
3.904,50923,55591
3.912,50890,55513
3.92,50856,55430
3.928,50822,55348
3.936,50789,55273
3.944,50760,55207
3.952,50734,55154
3.96,50713,55111
3.968,50697,55077
3.976,50686,55050
3.984,50678,55028
3.992,50672,55011
4,50669,54998
4.008,50667,54989
4.016,50665,54986
4.024,50664,54986
4.032,50662,54989
4.04,50661,54991
4.048,50659,54991
4.056,50658,54990
4.064,50658,54987
4.072,50658,54985
4.08,50658,54986
4.088,50660,54991
4.096,50662,54999
4.104,50665,55011
4.112,50669,55023
4.12,50674,55034
4.128,50682,55043
4.136,50691,55050
4.144,50701,55057
4.152,50711,55065
4.16,50718,55075
4.168,50721,55087
4.176,50722,55098
4.184,50719,55107
4.192,50716,55112
4.2,50714,55114
4.208,50712,55112
4.216,50712,55110
4.224,50712,55108
4.232,50713,55108
4.24,50713,55110
4.248,50714,55114
4.256,50714,55119
4.264,50715,55126
4.272,50718,55133
4.28,50724,55141
4.288,50733,55149
4.296,50745,55158
4.304,50756,55169
4.312,50766,55182
4.32,50771,55197
4.328,50773,55212
4.336,50774,55229
4.344,50775,55245
4.352,50778,55260
4.36,50783,55274
4.368,50791,55288
4.376,50798,55302
4.384,50805,55315
4.392,50811,55328
4.4,50816,55341
4.408,50821,55354
4.416,50825,55367
4.424,50831,55381
4.432,50838,55394
4.44,50847,55408
4.448,50858,55421
4.456,50868,55434
4.464,50877,55447
4.472,50883,55461
4.48,50886,55474
4.488,50887,55487
4.496,50888,55500
4.504,50891,55513
4.512,50895,55525
4.52,50900,55537
4.528,50905,55548
4.536,50911,55559
4.544,50916,55570
4.552,50922,55581
4.56,50927,55592
4.568,50932,55603
4.576,50935,55614
4.584,50936,55625
4.592,50935,55635
4.6,50934,55644
4.608,50935,55653
4.616,50939,55663
4.624,50946,55674
4.632,50955,55685
4.64,50963,55695
4.648,50969,55702
4.656,50971,55702
4.664,50967,55691
4.672,50957,55666
4.68,50941,55625
4.688,50919,55568
4.696,50892,55499
4.704,50862,55421
4.712,50830,55339
4.72,50796,55261
4.728,50762,55190
4.736,50728,55129
4.744,50696,55080
4.752,50670,55043
4.76,50652,55014
4.768,50643,54994
4.776,50640,54980
4.784,50643,54970
4.792,50648,54965
4.8,50652,54964
4.808,50654,54965
4.816,50656,54969
4.824,50657,54974
4.832,50658,54979
4.84,50660,54985
4.848,50664,54991
4.856,50668,54998
4.864,50673,55006
4.872,50679,55017
4.88,50683,55033
4.888,50687,55053
4.896,50690,55076
4.904,50693,55098
4.912,50697,55116
4.92,50703,55128
4.928,50710,55134
4.936,50717,55134
4.944,50722,55131
4.952,50725,55127
4.96,50725,55124
4.968,50723,55120
4.976,50720,55116
4.984,50717,55111
4.992,50715,55104
5,50712,55098
5.008,50711,55093
5.016,50710,55090
5.024,50710,55093
5.032,50711,55100
5.04,50713,55110
5.048,50715,55123
5.056,50719,55134
5.064,50723,55144
5.072,50728,55152
5.08,50733,55158
5.088,50738,55166
5.096,50744,55176
5.104,50750,55188
5.112,50755,55202
5.12,50761,55216
5.128,50767,55230
5.136,50773,55244
5.144,50779,55256
5.152,50784,55268
5.16,50790,55280
5.168,50796,55292
5.176,50801,55307
5.184,50806,55324
5.192,50810,55342
5.2,50814,55359
5.208,50819,55374
5.216,50823,55384
5.224,50828,55391
5.232,50834,55396
5.24,50838,55400
5.248,50843,55406
5.256,50847,55414
5.264,50850,55422
5.272,50853,55431
5.28,50857,55440
5.288,50860,55448
5.296,50864,55457
5.304,50867,55466
5.312,50871,55474
5.32,50874,55483
5.328,50878,55491
5.336,50882,55498
5.344,50886,55505
5.352,50890,55514
5.36,50895,55524
5.368,50900,55535
5.376,50904,55545
5.384,50907,55552
5.392,50906,55549
5.4,50901,55535
5.408,50891,55507
5.416,50875,55464
5.424,50853,55408
5.432,50826,55342
5.44,50797,55271
5.448,50766,55200
5.456,50737,55132
5.464,50709,55070
5.472,50685,55018
5.48,50666,54975
5.488,50650,54942
5.496,50639,54918
5.504,50631,54901
5.512,50626,54891
5.52,50623,54885
5.528,50622,54883
5.536,50622,54883
5.544,50623,54885
5.552,50624,54887
5.56,50626,54890
5.568,50628,54894
5.576,50630,54900
5.584,50633,54907
5.592,50637,54918
5.6,50642,54933
5.608,50647,54949
5.616,50654,54965
5.624,50661,54978
5.632,50669,54988
5.64,50677,54993
5.648,50684,54997
5.656,50691,55003
5.664,50695,55011
5.672,50698,55021
5.68,50698,55030
5.688,50696,55037
5.696,50693,55039
5.704,50690,55036
5.712,50687,55029
5.72,50685,55022
5.728,50684,55017
5.736,50683,55013
5.744,50682,55013
5.752,50682,55016
5.76,50681,55021
5.768,50681,55027
5.776,50684,55032
5.784,50689,55036
5.792,50699,55040
5.8,50710,55045
5.808,50721,55053
5.816,50730,55066
5.824,50736,55082
5.832,50738,55101
5.84,50738,55120
5.848,50738,55137
5.856,50740,55152
5.864,50745,55165
5.872,50751,55178
5.88,50759,55190
5.888,50766,55202
5.896,50771,55215
5.904,50775,55228
5.912,50778,55240
5.92,50780,55253
5.928,50785,55264
5.936,50793,55274
5.944,50805,55283
5.952,50819,55292
5.96,50833,55301
5.968,50842,55311
5.976,50846,55321
5.984,50844,55332
5.992,50839,55343
6,50834,55353
6.008,50832,55362
6.016,50834,55371
6.024,50838,55379
6.032,50844,55388
6.04,50849,55396
6.048,50852,55405
6.056,50854,55415
6.064,50855,55424
6.072,50858,55432
6.08,50864,55441
6.088,50875,55450
6.096,50888,55459
6.104,50900,55470
6.112,50910,55480
6.12,50914,55490
6.128,50912,55495
6.136,50904,55493
6.144,50893,55479
6.152,50878,55450
6.16,50859,55405
6.168,50836,55345
6.176,50808,55273
6.184,50776,55193
6.192,50741,55110
6.2,50705,55030
6.208,50672,54956
6.216,50642,54890
6.224,50616,54835
6.232,50596,54790
6.24,50580,54754
6.248,50568,54726
6.256,50559,54705
6.264,50552,54689
6.272,50546,54676
6.28,50540,54665
6.288,50535,54656
6.296,50531,54647
6.304,50527,54638
6.312,50523,54630
6.32,50520,54622
6.328,50517,54615
6.336,50514,54610
6.344,50512,54607
6.352,50513,54607
6.36,50516,54611
6.368,50520,54618
6.376,50525,54627
6.384,50527,54639
6.392,50527,54652
6.4,50524,54666
6.408,50522,54679
6.416,50523,54691
6.424,50529,54701
6.432,50537,54708
6.44,50548,54713
6.448,50556,54714
6.456,50562,54714
6.464,50563,54711
6.472,50562,54707
6.48,50559,54704
6.488,50557,54701
6.496,50555,54699
6.504,50555,54698
6.512,50556,54699
6.52,50557,54702
6.528,50560,54707
6.536,50563,54715
6.544,50566,54725
6.552,50570,54736
6.56,50575,54748
6.568,50580,54760
6.576,50585,54772
6.584,50591,54784
6.592,50597,54796
6.6,50603,54809
6.608,50609,54822
6.616,50615,54836
6.624,50620,54851
6.632,50626,54865
6.64,50632,54879
6.648,50639,54892
6.656,50646,54903
6.664,50653,54915
6.672,50659,54927
6.68,50662,54942
6.688,50663,54960
6.696,50663,54979
6.704,50662,54999
6.712,50664,55015
6.72,50669,55026
6.728,50677,55033
6.736,50687,55037
6.744,50697,55041
6.752,50705,55047
6.76,50711,55056
6.768,50715,55067
6.776,50718,55078
6.784,50722,55089
6.792,50726,55100
6.8,50730,55109
6.808,50735,55118
6.816,50740,55127
6.824,50744,55137
6.832,50749,55150
6.84,50754,55165
6.848,50759,55182
6.856,50763,55198
6.864,50768,55213
6.872,50773,55224
6.88,50778,55232
6.888,50783,55240
6.896,50789,55248
6.904,50794,55255
6.912,50798,55261
6.92,50799,55260
6.928,50796,55248
6.936,50786,55222
6.944,50771,55180
6.952,50748,55122
6.96,50720,55050
6.968,50688,54971
6.976,50654,54890
6.984,50619,54812
6.992,50587,54742
7,50559,54683
7.008,50535,54635
7.016,50515,54596
7.024,50500,54564
7.032,50488,54539
7.04,50480,54518
7.048,50474,54501
7.056,50469,54488
7.064,50465,54478
7.072,50462,54470
7.08,50459,54463
7.088,50456,54457
7.096,50454,54451
7.104,50451,54444
7.112,50449,54439
7.12,50447,54435
7.128,50447,54434
7.136,50447,54436
7.144,50449,54441
7.152,50452,54450
7.16,50457,54461
7.168,50463,54475
7.176,50469,54490
7.184,50476,54505
7.192,50483,54520
7.2,50489,54533
7.208,50494,54544
7.216,50498,54552
7.224,50501,54557
7.232,50503,54559
7.24,50504,54559
7.248,50503,54558
7.256,50501,54558
7.264,50499,54557
7.272,50498,54555
7.28,50497,54552
7.288,50498,54546
7.296,50501,54540
7.304,50506,54537
7.312,50511,54538
7.32,50516,54547
7.328,50520,54563
7.336,50523,54582
7.344,50526,54601
7.352,50529,54620
7.36,50533,54635
7.368,50539,54649
7.376,50545,54662
7.384,50552,54676
7.392,50558,54691
7.4,50565,54707
7.408,50572,54724
7.416,50578,54740
7.424,50585,54755
7.432,50592,54768
7.44,50598,54779
7.448,50604,54788
7.456,50610,54798
7.464,50615,54809
7.472,50621,54823
7.48,50627,54839
7.488,50632,54856
7.496,50638,54873
7.504,50643,54888
7.512,50649,54902
7.52,50655,54914
7.528,50660,54926
7.536,50666,54938
7.544,50671,54950
7.552,50675,54963
7.56,50679,54976
7.568,50683,54988
7.576,50688,55000
7.584,50695,55012
7.592,50705,55024
7.6,50716,55036
7.608,50728,55048
7.616,50736,55060
7.624,50741,55073
7.632,50742,55085
7.64,50742,55098
7.648,50741,55111
7.656,50743,55124
7.664,50747,55136
7.672,50753,55149
7.68,50760,55162
7.688,50767,55175
7.696,50773,55188
7.704,50778,55201
7.712,50781,55214
7.72,50784,55227
7.728,50789,55239
7.736,50797,55252
7.744,50808,55265
7.752,50821,55278
7.76,50834,55289
7.768,50842,55297
7.776,50843,55295
7.784,50834,55281
7.792,50816,55251
7.8,50791,55202
7.808,50761,55136
7.816,50728,55058
7.824,50692,54971
7.832,50655,54884
7.84,50618,54801
7.848,50584,54726
7.856,50555,54662
7.864,50531,54610
7.872,50513,54569
7.88,50498,54539
7.888,50486,54517
7.896,50475,54501
7.904,50465,54490
7.912,50457,54483
7.92,50452,54478
7.928,50451,54474
7.936,50453,54470
7.944,50456,54466
7.952,50459,54463
7.96,50461,54460
7.968,50461,54458
7.976,50460,54457
7.984,50459,54459
7.992,50460,54464
8,50463,54472
8.008,50470,54482
8.016,50477,54495
8.024,50484,54509
8.032,50488,54524
8.04,50488,54539
8.048,50486,54552
8.056,50483,54563
8.064,50482,54572
8.072,50485,54577
8.08,50492,54580
8.088,50500,54580
8.096,50508,54579
8.104,50512,54576
8.112,50513,54573
8.12,50511,54571
8.128,50509,54570
8.136,50507,54570
8.144,50507,54572
8.152,50510,54576
8.16,50514,54581
8.168,50520,54587
8.176,50524,54596
8.184,50526,54609
8.192,50525,54624
8.2,50523,54642
8.208,50521,54661
8.216,50522,54678
8.224,50529,54692
8.232,50540,54704
8.24,50554,54714
8.248,50568,54725
8.256,50579,54737
8.264,50588,54750
8.272,50594,54765
8.28,50600,54781
8.288,50605,54797
8.296,50611,54811
8.304,50618,54823
8.312,50625,54835
8.32,50632,54845
8.328,50637,54858
8.336,50642,54874
8.344,50646,54895
8.352,50648,54918
8.36,50651,54940
8.368,50655,54958
8.376,50660,54970
8.384,50667,54976
8.392,50675,54980
8.4,50682,54983
8.408,50689,54989
8.416,50695,54998
8.424,50700,55010
8.432,50705,55023
8.44,50710,55036
8.448,50715,55049
8.456,50721,55061
8.464,50726,55074
8.472,50732,55086
8.48,50737,55099
8.488,50743,55112
8.496,50748,55125
8.504,50754,55138
8.512,50760,55152
8.52,50766,55166
8.528,50772,55179
8.536,50778,55193
8.544,50784,55207
8.552,50790,55220
8.56,50796,55234
8.568,50801,55248
8.576,50807,55262
8.584,50812,55277
8.592,50818,55291
8.6,50824,55304
8.608,50830,55316
8.616,50836,55328
8.624,50842,55341
8.632,50848,55356
8.64,50854,55374
8.648,50859,55392
8.656,50864,55410
8.664,50869,55427
8.672,50875,55440
8.68,50880,55451
8.688,50886,55459
8.696,50891,55464
8.704,50894,55464
8.712,50893,55455
8.72,50886,55433
8.728,50872,55394
8.736,50850,55337
8.744,50821,55264
8.752,50787,55181
8.76,50750,55094
8.768,50712,55007
8.776,50676,54927
8.784,50644,54855
8.792,50616,54794
8.8,50595,54744
8.808,50579,54706
8.816,50567,54680
8.824,50560,54664
8.832,50555,54658
8.84,50552,54656
8.848,50551,54658
8.856,50551,54661
8.864,50552,54664
8.872,50553,54665
8.88,50555,54667
8.888,50556,54668
8.896,50558,54671
8.904,50560,54676
8.912,50562,54684
8.92,50565,54694
8.928,50569,54704
8.936,50574,54713
8.944,50580,54720
8.952,50587,54726
8.96,50594,54733
8.968,50600,54743
8.976,50607,54757
8.984,50612,54775
8.992,50617,54793
9,50620,54808
9.008,50622,54816
9.016,50622,54819
9.024,50622,54816
9.032,50621,54811
9.04,50619,54807
9.048,50618,54805
9.056,50617,54806
9.064,50616,54809
9.072,50617,54812
9.08,50618,54812
9.088,50621,54810
9.096,50625,54806
9.104,50631,54806
9.112,50636,54810
9.12,50642,54823
9.128,50648,54842
9.136,50653,54865
9.144,50657,54888
9.152,50662,54909
9.16,50668,54927
9.168,50675,54942
9.176,50682,54956
9.184,50689,54970
9.192,50696,54985
9.2,50703,55001
9.208,50709,55018
9.216,50714,55035
9.224,50719,55051
9.232,50725,55063
9.24,50733,55073
9.248,50745,55080
9.256,50758,55088
9.264,50771,55098
9.272,50781,55111
9.28,50786,55128
9.288,50787,55146
9.296,50786,55165
9.304,50784,55181
9.312,50785,55194
9.32,50788,55206
9.328,50794,55217
9.336,50800,55228
9.344,50807,55239
9.352,50812,55251
9.36,50816,55264
9.368,50818,55276
9.376,50820,55287
9.384,50825,55299
9.392,50833,55310
9.4,50846,55321
9.408,50862,55332
9.416,50877,55343
9.424,50888,55356
9.432,50893,55370
9.44,50893,55384
9.448,50889,55398
9.456,50885,55411
9.464,50884,55425
9.472,50887,55438
9.48,50892,55451
9.488,50899,55464
9.496,50906,55477
9.504,50912,55491
9.512,50917,55505
9.52,50922,55518
9.528,50927,55531
9.536,50932,55544
9.544,50937,55557
9.552,50943,55570
9.56,50948,55583
9.568,50954,55596
9.576,50960,55609
9.584,50965,55622
9.592,50970,55634
9.6,50975,55646
9.608,50979,55658
9.616,50984,55671
9.624,50990,55685
9.632,50996,55698
9.64,51002,55710
9.648,51006,55715
9.656,51006,55711
9.664,51000,55694
9.672,50986,55660
9.68,50967,55610
9.688,50944,55544
9.696,50917,55467
9.704,50889,55384
9.712,50860,55301
9.72,50829,55222
9.728,50797,55153
9.736,50766,55095
9.744,50738,55049
9.752,50716,55016
9.76,50702,54994
9.768,50694,54982
9.776,50691,54977
9.784,50691,54978
9.792,50694,54983
9.8,50697,54991
9.808,50702,55001
9.816,50707,55011
9.824,50712,55023
9.832,50718,55035
9.84,50722,55048
9.848,50726,55062
9.856,50728,55077
9.864,50732,55093
9.872,50738,55111
9.88,50746,55129
9.888,50756,55148
9.896,50767,55165
9.904,50777,55182
9.912,50786,55196
9.92,50793,55208
9.928,50796,55217
9.936,50798,55222
9.944,50799,55224
9.952,50798,55223
9.96,50798,55220
9.968,50798,55215
9.976,50798,55209
9.984,50796,55204
9.992,50790,55200
10,50782,55196
10.008,50772,55195
10.016,50763,55196
10.024,50759,55199
10.032,50762,55204
10.04,50770,55212
10.048,50782,55221
10.056,50795,55232
10.064,50805,55245
10.072,50812,55258
10.08,50818,55272
10.088,50822,55286
10.096,50827,55301
10.104,50835,55316
10.112,50844,55331
10.12,50853,55346
10.128,50861,55362
10.136,50865,55377
10.144,50864,55393
10.152,50860,55409
10.16,50857,55425
10.168,50858,55440
10.176,50865,55454
10.184,50877,55468
10.192,50891,55481
10.2,50906,55493
10.208,50918,55506
10.216,50926,55519
10.224,50930,55532
10.232,50934,55544
10.24,50937,55557
10.248,50942,55568
10.256,50948,55579
10.264,50956,55589
10.272,50963,55599
10.28,50968,55609
10.288,50970,55621
10.296,50967,55635
10.304,50962,55650
10.312,50958,55666
10.32,50958,55679
10.328,50963,55689
10.336,50973,55697
10.344,50985,55704
10.352,50998,55711
10.36,51008,55719
10.368,51014,55728
10.376,51019,55740
10.384,51022,55752
10.392,51025,55765
10.4,51030,55776
10.408,51035,55787
10.416,51042,55796
10.424,51048,55806
10.432,51053,55818
10.44,51057,55833
10.448,51058,55852
10.456,51058,55874
10.464,51058,55894
10.472,51060,55911
10.48,51065,55923
10.488,51073,55930
10.496,51083,55934
10.504,51093,55939
10.512,51101,55946
10.52,51107,55951
10.528,51108,55952
10.536,51104,55941
10.544,51095,55915
10.552,51079,55872
10.56,51057,55814
10.568,51029,55744
10.576,50998,55667
10.584,50965,55587
10.592,50931,55511
10.6,50901,55442
10.608,50874,55383
10.616,50852,55336
10.624,50835,55300
10.632,50823,55276
10.64,50815,55261
10.648,50811,55255
10.656,50811,55255
10.664,50812,55260
10.672,50816,55269
10.68,50821,55280
10.688,50826,55293
10.696,50832,55306
10.704,50838,55320
10.712,50845,55334
10.72,50851,55348
10.728,50858,55365
10.736,50866,55384
10.744,50874,55407
10.752,50883,55432
10.76,50892,55457
10.768,50901,55480
10.776,50909,55499
10.784,50917,55513
10.792,50923,55523
10.8,50928,55530
10.808,50932,55536
10.816,50935,55540
10.824,50936,55541
10.832,50936,55540
10.84,50935,55538
10.848,50933,55533
10.856,50931,55529
10.864,50928,55527
10.872,50926,55525
10.88,50925,55523
10.888,50924,55521
10.896,50926,55517
10.904,50928,55513
10.912,50933,55511
10.92,50938,55515
10.928,50942,55525
10.936,50947,55541
10.944,50951,55561
10.952,50954,55581
10.96,50959,55601
10.968,50964,55618
10.976,50970,55633
10.984,50977,55648
10.992,50984,55663
11,50992,55679
11.008,50999,55696
11.016,51005,55715
11.024,51012,55733
11.032,51018,55749
11.04,51025,55763
11.048,51032,55774
11.056,51039,55784
11.064,51045,55793
11.072,51052,55804
11.08,51058,55818
11.088,51064,55835
11.096,51070,55854
11.104,51075,55873
11.112,51080,55889
11.12,51085,55903
11.128,51090,55914
11.136,51096,55925
11.144,51101,55936
11.152,51106,55948
11.16,51110,55961
11.168,51112,55973
11.176,51115,55984
11.184,51119,55993
11.192,51126,55998
